1;1;3006;30158
1;2;2958;30167
1;3;2864;30179
1;4;2787;30202
1;5;2713;30231
1;6;2647;30265
1;7;2588;30319
1;8;2509;30423
1;9;2484;30486
2;1;3006;30158
2;2;3056;30146
2;3;3172;30113
2;4;3366;30038
2;5;3508;29983
3;1;3006;30158
3;2;2837;29397
3;3;2787;29160
3;4;2703;28625
3;5;2647;28308
4;1;3006;30158
4;2;3028;30261
4;3;3039;30409
4;4;3033;30747
4;5;3016;30822
4;6;2924;31083
4;7;2885;31214
4;8;2860;31283
4;9;2791;31427
4;10;2753;31521
4;11;2732;31621
4;12;2728;31696
4;13;2728;31765
4;14;2739;31875
4;15;2751;31952
4;16;2776.8;32043.5
4;17;2862;32290
5;1;2484;30486
5;2;2509;30423
5;3;2588;30319
5;4;2647;30265
5;5;2713;30231
5;6;2787;30202
5;7;2864;30179
5;8;2958;30167
5;9;3006;30158
6;1;3508;29983
6;2;3366;30038
6;3;3172;30113
6;4;3056;30146
6;5;3006;30158
7;1;3508;29983
7;2;4276;29700
8;1;3508;29983
8;2;3614;30154
9;1;3614;30154
9;2;3508;29983
10;1;3614;30154
10;2;3665;30158
10;3;4071;30596
11;1;3614;30154
11;2;3565.7;30222.3
11;3;3554;30280
11;4;3558;30386
11;5;3567;30469
11;6;3598;30559
11;7;3652;30715
11;8;3685;30778
11;9;3708;30809
11;10;3817;30878
11;11;3462;31318
11;12;3500.2;31780.7
11;13;3437;32192
12;1;4276;29700
12;2;3508;29983
13;1;4276;29700
13;2;4607;29595
13;3;5462;29235
13;4;5740;29122
13;5;6163;28918
13;6;6351;28820
14;1;2647;28308
14;2;2739;28098
14;3;2786.3;28044
14;4;2787.5;28041.7
14;5;2789;28039
15;1;2647;28308
15;2;2703;28625
15;3;2787;29160
15;4;2837;29397
15;5;3006;30158
16;1;2647;28308
16;2;2624;28185
16;3;2561;27841
16;4;2501;27503
17;1;2789;28039
17;2;2787.5;28041.7
17;3;2786.3;28044
17;4;2739;28098
17;5;2647;28308
18;1;2789;28039
18;2;3166;27896
19;1;2789;28039
19;2;2899;28601
19;3;2908;28634
19;4;2935;28671
19;5;2960;28684
19;6;2980;28690
19;7;3018;28686
19;8;3435;28548
19;9;3602;28334
19;10;4048;27770
19;11;4128;27664
20;1;2789;28039
